function,input_size,clock_cycle
1,100,305877
2,100,428468
1,100,294162
2,100,536878
1,100,448049
2,100,578543
1,100,421404
2,100,576005
1,100,385169
2,100,636422
1,100,400862
2,100,673584
1,100,365797
2,100,576214
1,100,368000
2,100,580479
1,100,341830
2,100,677030
1,100,352477
2,100,592963
1,100,349359
2,100,583343
1,100,340733
2,100,579948
1,100,337972
2,100,637960
1,100,341022
2,100,568345
1,100,347959
2,100,568147
1,100,340937
2,100,577664
1,100,338560
2,100,495374
1,250,788274
2,250,1500545
1,250,869020
2,250,1238745
1,250,830265
2,250,1071435
1,250,733041
2,250,1215095
1,250,726612
2,250,1072434
1,250,828554
2,250,1071881
1,250,732597
2,250,1072185
1,250,770597
2,250,1363789
1,250,835754
2,250,1383769
1,250,831194
2,250,1459657
1,250,779702
2,250,1071241
1,250,735496
2,250,1071476
1,250,797136
2,250,1071058
1,250,736810
2,250,1071508
1,250,730548
2,250,1072977
1,250,765606
2,250,1274085
1,250,851890
2,250,1094450
1,250,768615
2,250,1119298
1,250,765166
2,250,1074974
1,250,730276
2,250,1185465
1,250,740223
2,250,1076930
1,250,760066
2,250,1071342
1,250,759444
2,250,1070888
1,250,727846
2,250,1127849
1,250,759589
2,250,1070663
1,250,744661
2,250,1071997
1,250,762463
2,250,1072159
1,250,758052
2,250,1117710
1,250,729669
2,250,1070675
1,250,762176
2,250,1072047
1,250,732042
2,250,1072636
1,250,748578
2,250,1120877
1,250,762784
2,250,1070221
1,250,734841
2,250,1070889
1,250,748996
2,250,1133299
1,250,753382
2,250,1149531
1,250,756497
2,250,1071395
1,250,752368
2,250,1070678
1,250,760809
2,250,1076723
1,250,732164
2,250,1235185
1,250,823371
2,250,1478989
1,250,857006
2,250,1425650
1,250,850608
2,250,1239601
1,250,785979
2,250,1316085
1,250,721696
2,250,952755
1,250,680160
2,250,960028
1,250,676546
2,250,1026480
1,250,662714
2,250,968851
1,250,675423
2,250,1089944
1,250,645830
2,250,995224
1,250,654899
2,250,999414
1,250,668032
2,250,941098
1,250,671501
2,250,939317
1,250,671791
2,250,943751
1,250,664713
2,250,941506
1,250,709678
2,250,957324
1,250,652163
2,250,948778
1,250,671805
2,250,946128
1,250,673240
2,250,1048292
1,250,650693
2,250,1014223
1,250,682749
2,250,938572
1,250,745554
2,250,1185915
1,250,643171
2,250,944326
1,250,672946
2,250,1009318
1,250,674608
2,250,950194
1,250,654587
2,250,946353
1,250,675407
2,250,945687
1,250,658986
2,250,945246
1,250,645188
2,250,991210
1,250,661517
2,250,947243
1,250,660994
2,250,944995
1,250,669062
2,250,945838
1,250,666782
2,250,1013803
1,250,648494
2,250,944344
1,250,661911
2,250,948167
1,250,657237
2,250,1287526
1,250,699898
2,250,1078296
1,250,689456
2,250,959099
1,250,668196
2,250,945012
1,250,674178
2,250,945182
1,250,667878
2,250,945612
1,250,699350
2,250,946055
1,250,674558
2,250,945488
1,250,670497
2,250,946325
1,250,667884
2,250,945159
1,250,644821
2,250,1016181
1,250,653444
2,250,938414
1,250,681279
2,250,943133
1,250,691188
2,250,977118
1,250,645802
2,250,945582
1,250,715643
2,250,944928
1,250,649167
2,250,945182
1,250,656851
2,250,1019558
1,250,653387
2,250,945587
1,250,630273
2,250,1005364
1,250,667205
2,250,948948
1,250,654510
2,250,945054
1,250,662259
2,250,938458
1,250,646365
2,250,939713
1,250,713825
2,250,945119
1,500,1313564
2,500,1888601
1,500,1314894
2,500,1936202
1,500,1348315
2,500,1890387
1,500,1319738
2,500,2059518
1,500,1413399
2,500,1890763
1,500,1317970
2,500,1893514
1,500,1373564
2,500,1895764
1,500,1313434
2,500,2347619
1,500,1514274
2,500,1975580
1,500,1299200
2,500,2080124
1,500,1340569
2,500,1877748
1,500,1296029
2,500,1875527
1,500,1387873
2,500,1946525
1,500,1340050
2,500,1982043
1,500,1343918
2,500,2029811
1,500,1338433
2,500,2020104
1,500,1379040
2,500,2020919
1,500,1400679
2,500,2057587
1,500,1324279
2,500,2520719
1,500,1448641
2,500,2414866
1,500,1365062
2,500,1977502
1,500,1435487
2,500,1891876
1,500,1332735
2,500,1953318
1,500,1321863
2,500,1892471
1,500,1330689
2,500,1892722
1,500,1368761
2,500,1891167
1,500,1313505
2,500,1890279
1,500,1333319
2,500,1947650
